Row Labels,Abandonment,Abortion,Abuse of Law,Diseases,entrepreneurship,Family Planning,Gender Inequality at work,Gender Ratio,Girl Child Victim (chilld Marriage + Child Trafficking),Higher Education,Literacy,Malnutrition,Marriage Laws & Acts ,Maternal Health,Menstruation,Moral Policing,Perks & Benefits,Property Rights,Sanitation,School Education,Sex Education,Sex Work,Sexual harassment,Sexual harassment at work,Surrogacy / Adoption,Violence,Women -Empowerment,Women in Agriculture,Young Motherhood,(blank),Grand Total
PIB_India,,,,,,,,,,,,,1,2,,,,,,1,,,,,,,,6,,,10
BJP ,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,9
MIB_India,,,,,,,,1,,,,,,8,,,,,,1,,,,,,,1,5,,,16
MinistryWCD,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,3
MoHFW_INDIA,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,1,,17
NHP_INDIA,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,1,,23
ANI,,,,,,,,,,,,,2,,,,,,,,,,8,3,,1,2,,,,16
CNNnews18,,,,,,,,,,,,,3,1,,,,,,,,,8,,,,3,,,,15
firstpost,,2,,,,,,,,,,,2,1,,,,,,,,,4,,,,,,,,9
htTweets,,1,,1,,,,,,,,,1,1,,,,,,,,,6,,,,1,,,1,12
IndianExpress,,2,,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,14
IndiaToday,,,,,,,,,,,,,3,,,,,,,,,,7,,,,,,,1,11
ndtv,,2,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,8
NewsStoryIndia,,8,1,,,,,,,,,,7,,,,,,,,,,13,,,1,,1,,,31
thewire_in,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,2
TOI,,15,1,1,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,58,3,0,2,6,2,0,2,118
